강의실,요일,시간,합계
신학관,수,15,0.0
신학관,목,1,55.0
신학관,목,2,0.0
신학관,목,3,55.0
신학관,목,4,0.0
신학관,목,5,22.0
신학관,목,6,0.0
신학관,목,7,22.0
신학관,목,8,0.0
신학관,목,9,52.0
신학관,목,10,0.0
신학관,목,11,0.0
신학관,목,12,0.0
신학관,목,13,0.0
신학관,목,14,0.0
신학관,목,15,0.0
신학관,금,1,9.0
신학관,금,2,0.0
신학관,금,3,9.0
신학관,금,4,0.0
신학관,금,5,3.0
신학관,금,6,0.0
신학관,금,7,3.0
신학관,금,8,0.0
신학관,금,9,0.0
신학관,금,10,0.0
신학관,금,11,0.0
신학관,금,12,0.0
신학관,금,13,0.0
신학관,금,14,0.0
신학관,금,15,0.0
신학관,토,1,0.0
신학관,토,2,0.0
신학관,토,3,0.0
신학관,토,4,0.0
신학관,토,5,0.0
신학관,토,6,0.0
신학관,토,7,0.0
신학관,토,8,0.0
신학관,토,9,0.0
신학관,토,10,0.0
신학관,토,11,0.0
신학관,토,12,0.0
신학관,토,13,0.0
신학관,토,14,0.0
신학관,토,15,0.0
신학관,일,1,0.0
신학관,일,2,0.0
신학관,일,3,0.0
신학관,일,4,0.0
신학관,일,5,0.0
신학관,일,6,0.0
신학관,일,7,0.0
신학관,일,8,0.0
신학관,일,9,0.0
신학관,일,10,0.0
신학관,일,11,0.0
신학관,일,12,0.0
신학관,일,13,0.0
신학관,일,14,0.0
신학관,일,15,0.0
아트관,월,1,41.0
아트관,월,2,0.0
아트관,월,3,41.0
아트관,월,4,0.0
아트관,월,5,37.0
아트관,월,6,0.0
아트관,월,7,37.0
아트관,월,8,0.0
아트관,월,9,0.0
아트관,월,10,0.0
아트관,월,11,0.0
아트관,월,12,0.0
아트관,월,13,0.0
아트관,월,14,0.0
아트관,월,15,0.0
아트관,화,1,73.0
아트관,화,2,0.0
아트관,화,3,73.0
아트관,화,4,0.0
아트관,화,5,85.0
아트관,화,6,0.0
아트관,화,7,85.0
아트관,화,8,0.0
아트관,화,9,0.0
아트관,화,10,0.0
아트관,화,11,0.0
아트관,화,12,0.0
아트관,화,13,0.0
아트관,화,14,0.0
아트관,화,15,0.0
아트관,수,1,23.0
아트관,수,2,31.0
아트관,수,3,54.0
아트관,수,4,0.0
아트관,수,5,92.0
아트관,수,6,40.0
아트관,수,7,52.0
아트관,수,8,0.0
아트관,수,9,0.0
아트관,수,10,0.0
아트관,수,11,0.0
아트관,수,12,0.0
아트관,수,13,0.0
아트관,수,14,0.0
아트관,수,15,0.0
아트관,목,1,71.0
아트관,목,2,0.0
아트관,목,3,71.0
아트관,목,4,0.0
아트관,목,5,68.0
아트관,목,6,0.0
아트관,목,7,68.0
아트관,목,8,0.0
아트관,목,9,0.0
아트관,목,10,0.0
아트관,목,11,0.0
아트관,목,12,0.0
아트관,목,13,0.0
아트관,목,14,0.0
아트관,목,15,0.0
아트관,금,1,66.0
아트관,금,2,15.0
아트관,금,3,66.0
아트관,금,4,15.0
아트관,금,5,67.0
아트관,금,6,0.0
아트관,금,7,67.0
아트관,금,8,0.0
아트관,금,9,0.0
아트관,금,10,0.0
아트관,금,11,0.0
아트관,금,12,0.0
아트관,금,13,0.0
아트관,금,14,0.0
아트관,금,15,0.0
아트관,토,1,0.0
아트관,토,2,0.0
아트관,토,3,0.0
아트관,토,4,0.0
아트관,토,5,0.0
아트관,토,6,0.0
아트관,토,7,0.0
아트관,토,8,0.0
아트관,토,9,0.0
아트관,토,10,0.0
아트관,토,11,0.0
아트관,토,12,0.0
아트관,토,13,0.0
아트관,토,14,0.0
아트관,토,15,0.0
아트관,일,1,0.0
아트관,일,2,0.0
아트관,일,3,0.0
아트관,일,4,0.0
아트관,일,5,0.0
아트관,일,6,0.0
아트관,일,7,0.0
아트관,일,8,0.0
아트관,일,9,0.0
아트관,일,10,0.0
아트관,일,11,0.0
아트관,일,12,0.0
아트관,일,13,0.0
아트관,일,14,0.0
아트관,일,15,0.0
에스라관,월,1,13.0
에스라관,월,2,43.0
에스라관,월,3,13.0
에스라관,월,4,43.0
에스라관,월,5,36.0
에스라관,월,6,60.0
에스라관,월,7,57.0
에스라관,월,8,81.0
에스라관,월,9,0.0
에스라관,월,10,0.0
에스라관,월,11,0.0
에스라관,월,12,0.0
에스라관,월,13,0.0
에스라관,월,14,0.0
에스라관,월,15,0.0
에스라관,화,1,0.0
에스라관,화,2,87.0
에스라관,화,3,0.0
에스라관,화,4,87.0
에스라관,화,5,62.0
에스라관,화,6,47.0
에스라관,화,7,42.0
에스라관,화,8,27.0
에스라관,화,9,16.0
에스라관,화,10,0.0
에스라관,화,11,0.0
에스라관,화,12,0.0
에스라관,화,13,4.0
에스라관,화,14,0.0
에스라관,화,15,4.0
에스라관,수,1,0.0
에스라관,수,2,56.0
에스라관,수,3,0.0
에스라관,수,4,26.0
에스라관,수,5,10.0
에스라관,수,6,77.0
에스라관,수,7,10.0
에스라관,수,8,77.0
에스라관,수,9,0.0
에스라관,수,10,0.0
에스라관,수,11,0.0
에스라관,수,12,9.0
에스라관,수,13,0.0
에스라관,수,14,9.0
에스라관,수,15,0.0
에스라관,목,1,46.0
에스라관,목,2,47.0
에스라관,목,3,46.0
에스라관,목,4,47.0
에스라관,목,5,51.0
에스라관,목,6,41.0
에스라관,목,7,51.0
에스라관,목,8,41.0
에스라관,목,9,0.0
에스라관,목,10,0.0
에스라관,목,11,0.0
에스라관,목,12,14.0
에스라관,목,13,0.0
에스라관,목,14,14.0
에스라관,목,15,0.0
에스라관,금,1,0.0
에스라관,금,2,24.0
에스라관,금,3,18.0
에스라관,금,4,24.0
에스라관,금,5,43.0
에스라관,금,6,17.0
에스라관,금,7,25.0
에스라관,금,8,17.0
에스라관,금,9,0.0
에스라관,금,10,0.0
에스라관,금,11,0.0
에스라관,금,12,0.0
에스라관,금,13,0.0
에스라관,금,14,0.0
에스라관,금,15,0.0
에스라관,토,1,0.0
에스라관,토,2,0.0
에스라관,토,3,0.0
에스라관,토,4,0.0
에스라관,토,5,0.0
에스라관,토,6,0.0
에스라관,토,7,0.0
에스라관,토,8,0.0
에스라관,토,9,0.0
에스라관,토,10,0.0
에스라관,토,11,0.0
에스라관,토,12,0.0
에스라관,토,13,0.0
에스라관,토,14,0.0
에스라관,토,15,0.0
에스라관,일,1,0.0
에스라관,일,2,0.0
에스라관,일,3,0.0
에스라관,일,4,0.0
에스라관,일,5,0.0
에스라관,일,6,0.0
에스라관,일,7,0.0
에스라관,일,8,0.0
에스라관,일,9,0.0
에스라관,일,10,0.0
에스라관,일,11,0.0
에스라관,일,12,0.0
에스라관,일,13,0.0
에스라관,일,14,0.0
에스라관,일,15,0.0
음악관,월,1,33.0
음악관,월,2,33.0
음악관,월,3,0.0
음악관,월,4,0.0
음악관,월,5,26.0
음악관,월,6,26.0
음악관,월,7,9.0
음악관,월,8,9.0
음악관,월,9,6.0
음악관,월,10,6.0
음악관,월,11,0.0
음악관,월,12,0.0
음악관,월,13,0.0
음악관,월,14,0.0
음악관,월,15,0.0
음악관,화,1,15.0
음악관,화,2,1.0
음악관,화,3,16.0
음악관,화,4,13.0
음악관,화,5,16.0
음악관,화,6,33.0
음악관,화,7,36.0
음악관,화,8,15.0
음악관,화,9,21.0
음악관,화,10,0.0
